Iterations,VI avg moves,QL avg moves
6840,135.3,119.6
6845,149.1,110.6
6850,156.7,29.4
6855,166.6,29.4
6860,198.9,110.5
6865,136.4,110.5
6870,130.5,11.6
6875,170,20.5
6880,165.5,20.4
6885,136.6,119.2
6890,158.9,119.3
6895,91.8,20.4
6900,154.9,11.8
6905,132.4,20.4
6910,132.8,20.7
6915,123.4,20.5
6920,131.4,20.5
6925,196.7,20.7
6930,148.4,20.7
6935,115.2,11.7
6940,153.2,11.6
6945,146,11.8
6950,108.5,20.5
6955,171.9,29.4
6960,193.1,11.8
6965,128.9,11.8
6970,116.4,29.1
6975,145.3,29.3
6980,150.8,11.5
6985,170.4,12
